PRCP_AMT,YTM,PRICE,TRADE_AMT,TRADE_PRICE,TAU,MAT
79900000,5.1,10275,10000000,10275000,96,731159
79900000,5.03,10277,10000000,10277000,96,731159
79900000,5.1,10276,10000000,10276000,96,731159
79900000,5.05,10278,10000000,10278000,96,731159
150000000,5.1,10106,10000000,10106000,159,731222
100000000,5.2,10163,1060000,1077278,215,731278
100000000,5.2,10163,1060000,1077278,215,731278
100000000,5.22,10162,10000000,10162000,215,731278
100000000,5.2,10162,10000000,10162000,215,731278
167000000,5.26,10114,10000000,10114000,251,731314
167000000,5.26,10115,10000000,10115000,251,731314
160000000,5.27,10183,10000000,10183000,279,731342
160000000,5.27,10184,10000000,10184000,279,731342
119997000,5.4,10538,10000000,10538000,474,731537
119997000,5.47,10530,1000000,1053000,474,731537
119997000,5.4,10539,10000000,10539000,474,731537
119997000,5.4,10539,10000000,10539000,474,731537
119997000,5.47,10530,1000000,1053000,474,731537
119997000,5.4,10539,10000000,10539000,474,731537
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.56,10748,5000000,5374000,648,731711
199994500,5.56,10748,10000000,10748000,648,731711
199994500,5.56,10747,5000000,5373500,648,731711
199994500,5.57,10747,5000000,5373500,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.57,10746,20000000,21492000,648,731711
199994500,5.56,10747,5000000,5373500,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.57,10746,5000000,5373000,648,731711
199994500,5.57,10745,5000000,5372500,648,731711
199994500,5.56,10748,5000000,5374000,648,731711
199994500,5.56,10748,30000000,32244000,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.57,10745,20000000,21490000,648,731711
199994500,5.56,10748,5000000,5374000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.56,10748,5000000,5374000,648,731711
199994500,5.56,10747,5000000,5373500,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.57,10548,10000000,10548000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.57,10746,5000000,5373000,648,731711
199994500,5.57,10745,5000000,5372500,648,731711
199994500,5.57,10745,5000000,5372500,648,731711
199994500,5.57,10745,5000000,5372500,648,731711
199994500,5.57,10746,5000000,5373000,648,731711
199994500,5.56,10550,10000000,10550000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.58,10744,10000000,10744000,648,731711
199994500,5.56,10747,5000000,5373500,648,731711
199994500,5.56,10748,10000000,10748000,648,731711
199994500,5.56,10748,10000000,10748000,648,731711
199994500,5.56,10748,5000000,5374000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.56,10747,10000000,10747000,648,731711
199994500,5.58,10743,10000000,10743000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.56,10748,10000000,10748000,648,731711
199994500,5.57,10745,30000000,32235000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10745,10000000,10745000,648,731711
199994500,5.57,10746,10000000,10746000,648,731711
199994500,5.57,10746,30000000,32238000,648,731711
240000000,5.59,10562,5000000,5281000,746,731809
240000000,5.61,10558,10000000,10558000,746,731809
240000000,5.6,10560,5000000,5280000,746,731809
240000000,5.58,10565,30000000,31695000,746,731809
240000000,5.58,10564,10000000,10564000,746,731809
240000000,5.6,10561,10000000,10561000,746,731809
240000000,5.61,10559,10000000,10559000,746,731809
240000000,5.6,10560,10000000,10560000,746,731809
240000000,5.59,10563,10000000,10563000,746,731809
240000000,5.58,10565,10000000,10565000,746,731809
240000000,5.59,10563,5000000,5281500,746,731809
240000000,5.58,10564,10000000,10564000,746,731809
240000000,5.58,10564,10000000,10564000,746,731809
240000000,5.58,10564,10000000,10564000,746,731809
240000000,5.6,10561,5000000,5280500,746,731809
240000000,5.59,10562,10000000,10562000,746,731809
240000000,5.59,10563,5000000,5281500,746,731809
240000000,5.59,10562,5000000,5281000,746,731809
240000000,5.59,10562,10000000,10562000,746,731809
240000000,5.6,10561,10000000,10561000,746,731809
240000000,5.6,10560,5000000,5280000,746,731809
240000000,5.59,10562,10000000,10562000,746,731809
240000000,5.6,10561,5000000,5280500,746,731809
240000000,5.59,10563,10000000,10563000,746,731809
240000000,5.59,10562,10000000,10562000,746,731809
240000000,5.59,10563,10000000,10563000,746,731809
240000000,5.59,10563,10000000,10563000,746,731809
240000000,5.59,10562,10000000,10562000,746,731809
240000000,5.59,10562,5000000,5281000,746,731809
240000000,5.59,10563,5000000,5281500,746,731809
40000000,6.08,12330,38,46,1924,732987
40000000,6.08,12330,38,46,1924,732987
80000000,6.88,11003,15000000,16504500,3373,734436
