,Test Statistic,p-value,half-life,pearson
HON-NEE,-5.403224741,3.33E-06,15.82661207,0.977802247
CMCSA-HON,-4.777465732,6.00E-05,17.72215783,0.965671207
MRK-SRE,-4.528343714,0.000174707,18.75631073,0.887194973
UPS-D,-4.587889446,0.000135974,19.72097535,0.880925751
CCL-RHT,-3.768053584,0.003251612,20.42088841,0.95079327
MRK-D,-4.63252256,0.000112468,20.74781113,0.872579431
BDX-FIS,-4.34222021,0.000375091,21.96889541,0.976602273
COST-TRV,-4.23191124,0.00058157,22.77231333,0.945920209
MRK-JCI,-3.990694529,0.001460029,22.91480761,0.856427019
CL-D,-3.970543379,0.001572857,23.65256457,0.899760317
INTU-MMC,-3.976061263,0.001541181,23.77984558,0.980386562
INTU-APH,-4.186489296,0.000694471,24.32137733,0.976260714
AEP-TRV,-3.605971522,0.005647886,24.37815756,0.946245432
CRM-INTU,-3.321160014,0.013958713,25.77449577,0.948877319
MMM-MMC,-3.343227264,0.013053377,25.86346183,0.984075836
JNJ-CB,-3.883301083,0.002161238,26.4744419,0.966952096
V-HD,-3.672183186,0.004521878,26.50677347,0.975621646
CMCSA-DHR,-3.946483527,0.001718175,26.54798392,0.958680993
CMCSA-NEE,-3.691999583,0.004227105,26.99644984,0.94181889
PG-DUK,-3.876395175,0.002215599,27.18008913,0.813922313
MMC-APH,-3.337617732,0.013278446,27.55407688,0.980270367
MDLZ-AIG,-3.379614323,0.011673762,27.64161293,0.882365079
CMCSA-ADP,-4.085342427,0.001023989,27.81137336,0.951815224
MMM-ALL,-3.579316394,0.006168991,28.29161604,0.973880494
MMM-ADP,-3.897251875,0.002055165,28.50341615,0.969692362
DUK-CL,-3.882830737,0.0021649,28.67410367,0.81440004
SYK-FIS,-3.777159811,0.003149838,29.1388761,0.97428562
BRK/B-BLK,-4.15007166,0.000799545,29.24919662,0.959577524
LLY-MDLZ,-3.438579755,0.009711926,29.26586173,0.883969543
CB-AEP,-3.792311313,0.002986967,29.4519648,0.945455677
UTX-ETN,-3.411978091,0.010557254,29.72040205,0.867970957
HON-ADP,-3.204656975,0.019716693,30.02434471,0.964931761
PLD-BAX,-3.688437622,0.00427876,30.09364868,0.939504518
CME-FIS,-3.84258871,0.00250043,30.62206645,0.958798847
UPS-CL,-3.512936862,0.007660998,31.33416154,0.82455689
AFL-YUM,-3.518225446,0.007531179,31.47081065,0.874371793
ADP-ALL,-3.51627343,0.007578862,31.97002217,0.95417414
KO-SO,-3.62492109,0.005302079,32.30111882,0.770294411
T-SO,-3.458724296,0.009112618,32.45867797,0.709808937
TXN-SYK,-3.565022365,0.00646603,32.54848079,0.971142114
CMCSA-DWDP,-3.562161681,0.006527008,32.64752225,0.918627633
DHR-ADP,-3.937434795,0.001775984,33.31313604,0.957331833
PLD-EBAY,-3.51530229,0.007602687,33.64749123,0.8887954
NEE-DHR,-3.571146779,0.006337211,33.69835091,0.947769169
WMT-LIN,-3.458821601,0.009109805,33.89059515,0.721946295
OXY-F,-3.503887559,0.007887813,33.98056075,0.841107058
MRK-UPS,-3.495303175,0.008108541,33.9841161,0.818670482
BLK-APD,-3.316966321,0.014136905,34.28210945,0.925553941
BDX-SYK,-3.592615242,0.005903788,34.75794722,0.981747042
MRK-USB,-3.478769572,0.008549374,34.94740611,0.857927076
V-SYK,-3.210241163,0.019399481,35.66254316,0.973045724
CSCO-COST,-3.482094062,0.008459042,36.00401239,0.884731185
QCOM-OXY,-3.40274634,0.010865605,36.20519253,0.791283952
CSCO-TRV,-3.391456061,0.011253605,36.50943261,0.905198504
PG-EXC,-3.407018032,0.010721941,37.67714995,0.663924806
KO-DUK,-3.249898951,0.017272022,37.83066456,0.7864064
CB-SYY,-3.215172528,0.019123061,38.06664191,0.943593009
BLK-TEL,-3.226941099,0.018477235,38.12307681,0.950266967
HD-BDX,-3.290959953,0.015287433,38.53904856,0.970005294
UPS-SRE,-3.224116709,0.018630467,38.77575405,0.832121108
HON-DHR,-3.203564778,0.019779261,39.02105359,0.962639568
ADP-SHW,-3.330917096,0.013551789,39.09279917,0.9527263
DWDP-BK,-3.228619473,0.0183867,39.28636247,0.917273634
NEE-ALL,-3.220340193,0.018837088,41.06525156,0.944657657
D-JCI,-3.307768447,0.014534776,41.77701283,0.753354851
ALL-TEL,-3.254267074,0.017050674,42.27672107,0.933227954
JPM-PNC,-3.264542363,0.016539766,43.67389126,0.980251441
CCI-AFL,-3.255461614,0.016990577,47.38680584,0.826653195
LLY-TRV,-3.279334834,0.01582786,49.05032886,0.8639005
